,"2,797,681","5,754,582","1,767,141","152,000,722","2,352,755","107,664,370","1,299,703","2,742,795","746,156","4,386,641","628,925","9,958,821","383,934","5,372,937","22,212","-137,645","72,248","216,851","26,317","374,856","1,029,713","97,904,430","20,253,282","873,069","88,322,814","3,116,347","1,030,787","96,938,473","5,454,422","33,366","135,053","2,267,901","19,675,617","2,164,862","19,623,933","350,151","562,770","1,381,302"
"$75,000 under $100,000","1,327","4,013","1,498","114,047","1,229","94,996",977,"1,598",398,653,342,"1,185",208,"2,142",31,-347,48,170,21,207,891,"76,757","14,891",795,"68,649","2,788",888,"76,514","4,005",*         ,*              ,"1,326","12,552","1,323","11,803",--        ,--             ,694
"$100,000 or more     ","1,171","3,409","1,153","195,617","1,057","120,138","1,023","3,496",531,"3,150",504,"17,761",233,"10,747",65,"2,263",76,357,43,953,889,"143,462","20,710",838,"135,354","5,585",888,"143,356","6,043",87,260,"1,171","34,170","1,170","35,136",--        ,--             ,747
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99302,925,"2,236",943,"37,720",808,"27,202",333,767,108,549,104,"2,406",136,"1,141",*         ,*              ,21,76,*         ,*              ,208,"19,289","4,085",166,"16,680",733,208,"19,289",911,*         ,*              ,686,"4,123",586,"4,109",224,428,598
"Under $10,000        ",151,254,82,"-1,245",107,716,26,28,11,4,11,22,19,134,*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,19,4,36,24,53,54,86
"$10,000 under $25,000",283,698,352,"4,949",255,"4,131",51,30,*         ,*              ,*         ,*              ,33,244,--        ,--             ,--        ,--             ,--        ,--             ,20,345,225,*         ,*              ,*              ,20,345,37,--        ,--             ,184,128,127,138,128,334,181
"$25,000 under $50,000",259,677,307,"9,277",236,"7,794",96,108,28,76,25,-15,39,395,*         ,*              ,*         ,*              ,--        ,--             ,57,"2,172",804,55,"1,920",114,57,"2,172",159,--        ,--             ,252,624,192,568,43,40,168
"$50,000 under $75,000",118,302,112,"7,300",106,"5,763",70,93,25,26,33,84,16,143,*         ,*              ,*         ,*              ,--        ,--             ,56,"3,600",971,49,"3,133",110,56,"3,600",237,*         ,*              ,117,709,117,678,--        ,--             ,82
"$75,000 under $100,000",53,151,51,"4,532",51,"3,740",38,12,14,18,*         ,*              ,15,353,--        ,--             ,21,76,*         ,*              ,30,"2,608",554,22,"1,913",91,30,"2,608",160,--        ,--             ,53,502,53,518,--        ,--             ,34
"$100,000 or more     ",61,154,39,"12,907",53,"5,058",52,496,30,425,35,"2,315",14,-128,*         ,*              ,*         ,*              ,--        ,--             ,45,"10,564","1,531",40,"9,714",418,45,"10,564",318,*         ,*              ,61,"2,156",61,"2,183",--        ,--             ,47
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99320,"3,493","8,180","2,932","153,663","3,130","132,612","1,564","1,239",470,627,395,"1,986",409,"1,090",227,"-1,857",62,193,*         ,*              ,"1,111","77,474","17,271",894,"66,014","2,377","1,104","77,081","4,452",18,37,"2,797","15,209","2,554","14,402",518,926,"1,689"
"Under $10,000        ",604,867,187,"2,670",501,"2,776",151,112,57,27,57,-45,47,-55,20,-320,--        ,--             ,--        ,--             ,17,99,270,11,67,15,20,76,58,--        ,--             ,133,23,168,46,179,230,230
"$10,000 under $25,000",744,"1,436",506,"12,623",617,"9,693",231,199,70,83,49,9,66,429,24,-212,10,30,--        ,--             ,83,"1,568","1,029",56,"1,067",103,79,"1,504",196,--        ,--             ,540,414,450,433,235,605,369
"$25,000 under $50,000",889,"2,260",932,"32,994",810,"28,524",333,294,88,122,78,144,109,416,49,-522,23,60,*         ,*              ,275,"10,708","3,474",192,"7,522",329,270,"10,497",744,--        ,--             ,868,"2,263",703,"1,928",104,91,451
"$50,000 under $75,000",593,"1,666",626,"36,983",560,"33,001",342,266,92,143,68,199,79,-106,56,-525,12,47,--        ,--             ,294,"18,503","4,392",232,"14,691",588,294,"18,503","1,061",--        ,--             ,593,"3,546",572,"3,159",--        ,--             ,301
"$75,000 under $100,000",392,"1,190",444,"33,619",383,"30,749",277,155,77,88,73,396,56,29,39,-260,17,56,*         ,*              ,242,"20,967","4,151",218,"18,853",653,241,"20,872","1,232",*         ,*              ,392,"3,730",390,"3,453",--        ,--             ,196
"$100,000 or more     ",271,761,237,"34,774",259,"27,869",230,213,86,164,70,"1,283",52,377,39,-18,*         ,*              ,*         ,*              ,200,"25,629","3,955",185,"23,814",689,200,"25,629","1,161",18,37,271,"5,233",271,"5,383",--        ,--             ,142
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99321,223,722,382,"5,826",210,"5,286",40,36,*         ,*              ,10,11,10,37,*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,132,361,78,327,51,121,112
"Under $10,000        ",39,85,42,236,34,230,*         ,*              ,--        ,--             ,10,11,10,37,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,*         ,*              ,12,6,17,38,18
"$10,000 under $25,000",103,366,210,"1,788",100,"1,718",*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,55,24,19,19,34,83,49
"$25,000 under $50,000",60,225,119,"2,079",55,"1,817",29,31,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,56,104,26,74,*         ,*              ,33
"$50,000 under $75,000",11,21,4,618,11,537,11,5,--        ,--             ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,--        ,--             ,--             ,*         ,*              ,*              ,--        ,--             ,11,68,11,63,--        ,--             ,12
