Total,"2,860,825","5,865,799","1,794,371","166,580,039","2,412,365","114,046,697","1,368,475","3,528,026","748,124","3,862,773","651,545","14,886,748","403,776","5,996,877","23,232","-157,511","73,677","264,541","27,138","415,068","1,067,582","109,369,624","22,529,755","899,373","98,569,012","3,435,488","1,063,234","107,890,387","5,925,136","47,972","187,582","2,337,779","22,076,820","2,234,434","22,075,876","346,390","585,289","1,422,842"
"$25,000 under $50,000",120,162,29,"4,163",108,"3,571",41,34,24,55,31,25,18,136,0,0,*         ,*              ,0,0,18,665,199,24,695,28,18,665,50,0,0,119,389,114,389,*         ,*              ,57
"$50,000 under $75,000",44,75,20,"2,665",38,"2,582",24,11,13,18,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,15,938,240,12,767,17,13,829,47,0,0,44,327,43,304,0,0,26
"$75,000 under $100,000",25,42,12,"2,174",21,"1,886",19,31,12,31,12,58,10,214,0,0,0,0,0,0,12,"1,051",197,12,"1,051",17,12,"1,051",52,0,0,25,322,25,333,0,0,19
"$100,000 or more     ",55,110,28,"33,343",50,"11,769",49,"2,486",39,863,38,"3,057",*         ,*              ,0,0,0,0,*         ,*              ,34,"26,609","1,388",29,"22,257",286,33,"26,215",660,*         ,*              ,55,"9,332",55,"8,902",0,0,43
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98136,"7,789","13,170","2,664","589,308","6,230","388,898","4,868","13,366","3,260","16,069","2,776","53,341","1,325","31,390",*         ,*              ,251,943,188,"2,927","3,711","437,636","86,344","3,264","405,825","10,410","3,710","432,465","24,977",233,919,"6,867","89,940","6,835","92,507",404,449,"3,516"
"Under $10,000        ",920,"1,060",87,466,573,"3,045",415,898,276,377,258,379,168,-19,0,0,*         ,*              ,*         ,*              ,72,451,"1,392",48,293,51,108,"-2,887",490,0,0,246,39,344,148,197,131,395
"$10,000 under $25,000","1,223","1,594",236,"21,303",845,"13,993",528,"1,049",314,908,237,215,152,"1,496",0,0,22,72,*         ,*              ,219,"3,899","3,623",168,"3,006",277,211,"3,755",734,0,0,"1,034",935,973,"1,108",139,270,507
"$25,000 under $50,000","1,960","2,700",416,"71,723","1,624","55,651",956,"1,790",573,"1,664",476,743,265,"2,900",*         ,*              ,80,279,26,170,611,"23,598","9,499",498,"19,277",753,592,"22,895","2,426",0,0,"1,918","6,203","1,867","6,404",68,48,769
"$50,000 under $75,000","1,238","2,065",376,"76,153","1,045","58,522",862,"2,017",536,"1,502",433,"1,145",211,"2,809",*         ,*              ,59,203,16,100,744,"46,225","13,735",636,"39,523","1,123",739,"45,898","3,574",*         ,*              ,"1,230","8,263","1,217","8,433",0,0,517
"$75,000 under $100,000",841,"1,792",419,"73,032",721,"55,670",669,"1,272",464,"1,493",363,"2,068",172,"3,785",*         ,*              ,30,106,24,297,633,"55,265","13,773",575,"50,207","1,080",631,"55,087","3,802",*         ,*              ,835,"8,323",831,"8,567",0,0,384
"$100,000 or more     ","1,607","3,959","1,130","346,631","1,422","202,017","1,438","6,340","1,097","10,125","1,009","48,791",357,"20,419",*         ,*              ,60,283,122,"2,360","1,432","308,198","44,322","1,339","293,519","7,126","1,429","307,717","13,951",233,919,"1,604","66,177","1,603","67,847",0,0,944
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98138,369,627,152,"26,997",318,"19,461",182,"1,110",93,404,91,"2,379",69,254,0,0,*         ,*              ,0,0,169,"21,735","3,570",138,"18,143",421,172,"20,094",975,*         ,*              ,319,"4,843",315,"4,966",35,49,222
"Under $10,000        ",46,68,12,"-1,295",27,255,17,601,20,15,10,453,27,137,0,0,0,0,0,0,*         ,*              ,*              ,13,185,7,11,"-1,394",78,0,0,*         ,*              ,19,16,16,12,27
"$10,000 under $25,000",67,100,26,"1,230",55,977,21,14,*         ,*              ,21,-20,*         ,*              ,0,0,*         ,*              ,0,0,18,265,232,*         ,*              ,*              ,13,238,32,0,0,65,57,53,70,19,37,44
"$25,000 under $50,000",107,158,38,"3,820",94,"3,262",36,27,15,28,*         ,*              ,13,212,0,0,0,0,0,0,36,"1,367",518,28,"1,108",89,36,"1,367",103,0,0,105,318,96,326,*         ,*              ,59
"$50,000 under $75,000",63,116,33,"3,847",60,"3,331",39,16,14,5,13,-20,11,-8,0,0,*         ,*              ,0,0,45,"2,778",709,37,"2,286",71,43,"2,668",177,0,0,63,423,61,425,0,0,34
"$75,000 under $100,000",39,84,23,"3,341",38,"3,076",28,17,17,14,15,38,18,-87,0,0,0,0,0,0,31,"2,646",551,24,"2,054",58,31,"2,646",135,0,0,39,416,39,415,0,0,23
"$100,000 or more     ",47,101,20,"16,054",44,"8,560",41,435,27,342,32,"1,928",*         ,*              ,0,0,0,0,0,0,39,"14,679","1,560",36,"12,510",196,38,"14,569",450,*         ,*              ,47,"3,629",47,"3,714",0,0,35
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98139,223,370,68,"22,739",159,"11,416",142,912,97,705,101,"3,653",47,"1,779",0,0,*         ,*              ,*         ,*              ,124,"18,748","3,655",114,"17,443",527,126,"18,695","1,063",20,100,185,"3,708",188,"3,944",12,17,120
"Under $10,000        ",27,31,2,49,*         ,*              ,12,30,16,14,20,-20,10,146,0,0,0,0,0,0,*         ,*              ,*              ,12,190,15,*         ,*              ,*              ,0,0,0,0,*         ,*              ,*         ,*              ,14
"$10,000 under $25,000",34,44,8,573,32,456,12,7,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,12,198,160,*         ,*              ,*              ,15,182,40,0,0,26,23,30,45,12,17,18
"$25,000 under $50,000",52,69,13,"1,958",42,"1,515",25,59,15,19,12,-9,14,56,0,0,*         ,*              ,0,0,17,689,274,15,616,22,16,652,61,0,0,51,172,50,178,*         ,*              ,28
"$50,000 under $75,000",26,37,1,"1,678",21,"1,278",19,18,21,54,10,14,*         ,*              ,0,0,0,0,0,0,20,"1,293",417,18,"1,171",63,20,"1,293",87,0,0,24,178,24,203,0,0,16
"$75,000 under $100,000",18,35,6,"1,552",13,901,15,36,*         ,*              ,10,-8,0,0,0,0,0,0,0,0,14,"1,223",307,12,"1,048",16,14,"1,223",88,0,0,18,178,18,176,0,0,*         
"$100,000 or more     ",66,154,38,"16,929",51,"7,266",59,762,45,618,49,"3,676",23,"1,577",0,0,*         ,*              ,*         ,*              ,61,"15,345","2,497",57,"14,418",411,61,"15,345",787,20,100,66,"3,157",66,"3,342",0,0,44
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98141,44,66,15,"2,834",32,"1,479",19,4,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,10,"1,403",298,*         ,*              ,*              ,10,"1,063",47,*         ,*              ,36,314,35,325,*         ,*              ,18
"Under $10,000        ",*         ,*         ,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*         
"$10,000 under $25,000",13,23,7,210,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*         ,*              ,*         ,*              ,*         
"$25,000 under $50,000",20,24,2,838,21,544,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,56,22,60,0,0,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,11,935,19,4,0,0,0,0,0,0,0,0,0,0,0,0,10,"1,403",298,*         ,*              ,*              ,10,"1,063",47,0,0,14,258,13,265,0,0,18
"$75,000 under $100,000",11,19,6,"1,786",*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,*         ,*              ,*         ,*              ,0,0,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98144,"11,680","20,605","5,694","757,200","10,017","506,219","5,710","14,746","3,329","18,143","2,874","74,521","1,802","32,461",*         ,*              ,325,"1,091",209,"3,631","3,946","522,660","92,597","3,370","485,322","15,589","3,923","512,487","25,787",247,"1,085","9,414","122,415","9,100","125,238","1,686","2,504","6,042"
"Under $10,000        ","2,044","2,783",556,743,"1,504","8,933",603,618,362,675,313,421,358,955,0,0,10,18,*         ,*              ,104,570,"1,270",57,332,63,141,"-6,541",642,*         ,*              ,391,73,650,337,764,741,"1,059"
"$10,000 under $25,000","2,699","4,350","1,254","47,070","2,271","38,423",853,927,388,742,321,447,340,"2,806",0,0,61,171,13,39,318,"5,809","4,930",229,"4,242",352,312,"5,712","1,106",0,0,"2,171","1,862","1,916","2,078",622,"1,469","1,489"
"$25,000 under $50,000","3,274","5,719","1,723","117,924","2,971","102,129","1,445","1,507",631,"1,340",507,852,388,"4,637",*         ,*              ,124,394,26,165,916,"34,964","13,829",732,"28,194","1,300",888,"33,925","3,278",0,0,"3,203","9,456","2,903","9,311",300,294,"1,580"
"$50,000 under $75,000","1,438","2,616",667,"88,043","1,294","72,330",941,"1,518",516,"1,376",436,"1,567",220,"3,520",0,0,52,186,28,303,815,"50,551","14,874",704,"43,784","1,522",800,"49,612","3,617",*         ,*              ,"1,428","9,497","1,414","9,635",0,0,650
"$75,000 under $100,000",802,"1,705",463,"69,052",728,"56,615",610,"1,098",402,"1,454",342,"1,753",152,"2,309",0,0,27,96,23,237,544,"46,944","11,524",486,"41,961","1,246",535,"46,174","3,010",*         ,*              ,798,"8,405",794,"8,417",0,0,374
"$100,000 or more     ","1,423","3,432","1,031","434,368","1,249","227,789","1,258","9,078","1,030","12,556",955,"69,481",344,"18,234",*         ,*              ,51,226,119,"2,887","1,249","383,822","46,170","1,162","366,809","11,106","1,247","383,605","14,134",247,"1,085","1,423","93,122","1,423","95,460",0,0,890
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98145,604,782,104,"25,063",530,"18,922",260,268,128,287,95,"1,552",100,877,0,0,21,47,*         ,*              ,117,"12,433","2,090",93,"9,378",357,114,"12,277",497,0,0,478,"3,501",480,"3,588",62,35,174
"Under $10,000        ",150,163,9,578,119,713,48,13,22,11,20,2,29,14,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,34,6,46,18,51,19,34
"$10,000 under $25,000",145,166,15,"2,536",127,"2,109",45,30,23,37,13,1,26,226,0,0,*         ,*              ,0,0,18,268,194,12,194,7,18,219,47,0,0,136,139,131,161,11,16,44
"$25,000 under $50,000",184,234,34,"6,601",170,"5,977",78,78,33,26,22,16,23,353,0,0,21,47,0,0,33,"1,259",421,29,"1,098",46,31,"1,205",81,0,0,183,635,178,655,*         ,*              ,49
"$50,000 under $75,000",56,80,12,"3,328",53,"3,101",36,33,26,93,11,31,12,48,0,0,*         ,*              ,0,0,17,"1,007",232,12,696,22,16,954,59,0,0,56,434,56,430,0,0,25
"$75,000 under $100,000",29,51,10,"2,524",27,"2,169",21,14,*         ,*              ,10,161,*         ,*              ,0,0,0,0,0,0,17,"1,494",251,15,"1,314",19,17,"1,494",86,0,0,29,352,29,350,0,0,*         
